Activity Date,Transaction,Description,Symbol,Qty,Fill Price,Commission,Net Amount
8/12/2013,Sell To Open,INTC Aug 13 22.50 Put,INTC,-15,0.2,10.75,289.25
8/6/2013,Sell To Open,INTC 9 Aug 13 (W) 22.50 Put,INTC,-14,0.07,10.6,87.4
8/1/2013,Sell To Open,MSFT 9 Aug 13 (W) 31.50 Put,MSFT,-9,0.21,1.35,187.65
8/1/2013,Buy To Close,MSFT 2 Aug 13 (W) 31.00 Put,MSFT,9,0.02,13.85,-31.85
8/1/2013,,Money Market Dividends Paid,,,,,0.09
7/29/2013,Sell To Open,INTC 2 Aug 13 (W) 23.00 Put,INTC,-13,0.13,10.45,158.55
7/29/2013,Sell To Open,MSFT 2 Aug 13 (W) 31.00 Put,MSFT,-9,0.12,9.85,98.15
7/26/2013,OPTASS,FB 26 Jul 13 (W) 28.50 Call,FB,8,,,0
7/26/2013,Buy To Close,FB 26 Jul 13 (W) 28.50 Call,FB,8,0,,0
7/26/2013,Sell To Open,FB Stock,FB,-800,28.5,5,22795
7/22/2013,Sell To Open,INTC 26 Jul 13 (W) 22.50 Put,INTC,-3,0.11,0.45,32.55
7/22/2013,Sell To Open,INTC 26 Jul 13 (W) 22.50 Put,INTC,-13,0.11,10.45,132.55
7/19/2013,OPTASS,ATVI Jul 13 14.00 Call,ATVI,26,,,0
7/19/2013,Buy To Close,ATVI Jul 13 14.00 Call,ATVI,26,0,,0
7/19/2013,Sell To Open,ATVI Stock,ATVI,-2600,14,5,36395
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-1,0.18,0.15,17.85
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-1,0.18,0.15,17.85
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-1,0.18,0.15,17.85
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-1,0.18,0.15,17.85
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-1,0.18,0.15,17.85
7/11/2013,Sell To Open,FB 26 Jul 13 (W) 28.50 Call,FB,-3,0.18,8.95,45.05
7/1/2013,,Money Market Dividends Paid,,,,,0.22
6/26/2013,Buy To Open,AAPL Stock,AAPL,5,399.55,3.95,-2001.7
6/25/2013,Sell To Open,ATVI Jul 13 14.00 Call,ATVI,-26,0.34,12.4,871.6
6/21/2013,OPTASS,ATVI Jun 13 14.00 Put,ATVI,26,,,0
6/21/2013,Buy To Close,ATVI Jun 13 14.00 Put,ATVI,26,0,,0
6/21/2013,Buy To Open,ATVI Stock,ATVI,2600,14,5,-36405
6/4/2013,Sell To Open,ATVI Jun 13 14.00 Put,ATVI,-26,0.27,12.4,689.6
6/3/2013,,Money Market Dividends Paid,,,,,0.17
5/31/2013,OPTASS,INTC 31 May 13 (W) 24.00 Call,INTC,15,,,0
5/31/2013,Buy To Close,INTC 31 May 13 (W) 24.00 Call,INTC,15,0,,0
5/31/2013,Sell To Open,INTC Stock,INTC,-1500,24,5,35995
5/28/2013,Sell To Open,INTC 31 May 13 (W) 24.00 Call,INTC,-15,0.3,10.75,439.25
5/24/2013,OPTASS,INTC 24 May 13 (W) 24.00 Put,INTC,15,,,0
5/24/2013,Buy To Close,INTC 24 May 13 (W) 24.00 Put,INTC,15,0,,0
5/24/2013,Buy To Open,INTC Stock,INTC,1500,24,5,-36005
5/20/2013,Sell To Open,INTC 24 May 13 (W) 24.00 Put,INTC,-15,0.2,10.75,289.25
5/17/2013,OPTASS,P May 13 14.00 Call,P,3,,,0
5/17/2013,Buy To Close,P May 13 14.00 Call,P,3,0,,0
5/17/2013,Sell To Open,P Stock,P,-300,14,5,4195
5/16/2013,,Cash Dividend,AAPL,,,,100.65
5/15/2013,OPTASS,P May 13 14.00 Call,P,13,,,0
5/15/2013,Buy To Close,P May 13 14.00 Call,P,13,0,,0
5/15/2013,Sell To Open,P Stock,P,-1300,14,5,18195
5/13/2013,Sell To Open,FB May 13 27.50 Call,FB,-2,0.15,0.3,29.7
5/13/2013,Sell To Open,FB May 13 27.50 Call,FB,-2,0.15,0.3,29.7
5/13/2013,Sell To Open,FB May 13 27.50 Call,FB,-4,0.15,9.1,50.9
5/13/2013,OPTASS,P May 13 14.00 Call,P,7,,,0
5/13/2013,Buy To Close,P May 13 14.00 Call,P,7,0,,0
5/13/2013,Sell To Open,P Stock,P,-700,14,5,9795
5/10/2013,OPTASS,FB 10 May 13 (W) 27.50 Put,FB,8,,,0
5/10/2013,Buy To Close,FB 10 May 13 (W) 27.50 Put,FB,8,0,,0
5/10/2013,Buy To Open,FB Stock,FB,800,27.5,5,-22005
5/6/2013,Sell To Open,FB 10 May 13 (W) 27.50 Put,FB,-8,0.16,9.7,118.3
5/3/2013,OPTASS,FB 3 May 13 (W) 27.50 Call,FB,8,,,0
5/3/2013,Buy To Close,FB 3 May 13 (W) 27.50 Call,FB,8,0,,0
5/3/2013,Sell To Open,FB Stock,FB,-800,27.5,5,21995
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-2,0.05,0.3,9.7
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-2,0.05,0.3,9.7
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-1,0.05,0.15,4.85
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-2,0.05,0.3,9.7
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-1,0.05,0.15,4.85
5/1/2013,Sell To Open,ZNGA May 13 3.00 Put,ZNGA,-5,0.05,9.25,15.75
5/1/2013,,Money Market Dividends Paid,,,,,0.1
4/29/2013,Sell To Open,FB 3 May 13 (W) 27.50 Call,FB,-8,1.06,9.7,838.3
4/24/2013,Sell To Open,P May 13 14.00 Call,P,-18,0.7,2.7,1257.3
4/24/2013,Sell To Open,P May 13 14.00 Call,P,-5,0.7,9.25,340.75
4/22/2013,Sell To Open,FB 26 Apr 13 (W) 27.00 Call,FB,-8,0.1,9.7,70.3
4/19/2013,OPTASS,FB Apr 13 27.00 Put,FB,8,,,0
4/19/2013,Buy To Close,FB Apr 13 27.00 Put,FB,8,0,,0
4/19/2013,Buy To Open,FB Stock,FB,800,27,5,-21605
4/15/2013,Sell To Open,FB Apr 13 27.00 Put,FB,-8,0.29,9.7,222.3
4/8/2013,Sell To Open,FB 12 Apr 13 (W) 26.50 Put,FB,-8,0.23,9.7,174.3
4/5/2013,OPTASS,FB 5 Apr 13 (W) 26.00 Call,FB,8,,,0
